CR AVELA NUTELLA 350G,,,Código de barras:  7898024394181,2024-10-29 18:02:22,"há 3 hora(s), 8 minuto(s) e 29 segundo(s)",ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A
NUTELLA 350 GR 1X350GR,,,"há 8 hora(s), 46 minuto(s) e 17 segundo(s)",2024-10-29 18:02:22,CABRAL E SOUSA,"AVENIDA REGIS PACHECO 67 CENTRO 45015310, VITORIA DA CONQUISTA"
NUTELLA CREME AVELA C/CACAU,,,"há 23 hora(s), 34 minuto(s) e 11 segundo(s)",2024-10-29 18:02:22,FACA FESTA,"AVENIDA JURACY MAGALHAES 35 FELICIA 45055235, VITORIA DA CONQUISTA"
NUTELLA 350G,,,"há 8 hora(s), 18 minuto(s) e 32 segundo(s)",2024-10-29 18:02:22,MERCADINHO ANDRES,"RUA D URBIS IV 02 ZABELE 45077040, VITORIA DA CONQUISTA"
CR AVELA NUTELLA T,,,"há 5 hora(s), 16 minuto(s) e 29 segundo(s)",2024-10-29 18:02:22,ECONOMART,"AVENIDA BRUMADO 2295 BATEIAS 45052000, VITORIA DA CONQUISTA"
CREME DE AVELA NUTELLA FERRERO 350GR,,,"há 19 hora(s), 41 minuto(s) e 41 segundo(s)",2024-10-29 18:02:22,MINI MERCADO DUTRA,"AVENIDA ITABUNA 3245 IBIRAPUERA 45075195, VITORIA DA CONQUISTA"
CR.AVELA NUTEL.,,,"há 23 hora(s), 49 minuto(s) e 30 segundo(s)",2024-10-29 18:02:22,BRASIL ATACAREJO,"AVENIDA JURACY MAGALHAES 3065 BOA VISTA 45026090, VITORIA DA CONQUISTA"
CREME NUTELLA 350G UN,,,"há 2 dia(s), 23 hora(s), 8 minuto(s) e 51 segundo(s)",2024-10-29 18:02:22,G BARBOSA,"AVENIDA OLIVIA FLORES S/N CANDEIAS 45028100, VITORIA DA CONQUISTA"
CR AVELA T350 NUTELLA FERRERO,,,Código de barras:  7898024394181,2024-10-29 18:02:22,"há 1 dia(s), 20 hora(s), 43 minuto(s) e 38 segundo(s)",IRMAOS MATTAR & CIA LTDA
NUTELLA 650 GR UN,,,"há 4 hora(s), 39 minuto(s) e 39 segundo(s)",2024-10-29 18:02:28,CABRAL E SOUSA,"AVENIDA REGIS PACHECO 67 CENTRO 45015310, VITORIA DA CONQUISTA"
CREME FERRERO AVELA,,,"há 7 hora(s), 41 minuto(s) e 18 segundo(s)",2024-10-29 18:02:28,ATACADAO,"RODOVIA BR 116 5005 AYRTON SENNA 45058000, VITORIA DA CONQUISTA"
CREME FERRERO AVELA,,,"há 1 dia(s), 6 hora(s), 16 minuto(s) e 35 segundo(s)",2024-10-29 18:02:28,MAXXI,"AVENIDA BRUMADO 2555 BATEIAS 45052000, VITORIA DA CONQUISTA"
NUTELLA FERRERO 650G,,,"há 7 hora(s), 53 minuto(s) e 56 segundo(s)",2024-10-29 18:02:28,FACA FESTAS,"AVENIDA CRESCENCIO SILVEIRA 223 CENTRO 45000190, VITORIA DA CONQUISTA"
NUTELLA FERRERO 650GR,,,"há 1 dia(s), 7 hora(s), 43 minuto(s) e 0 segundo(s)",2024-10-29 18:02:28,FACA FESTA,"AVENIDA JURACY MAGALHAES 35 FELICIA 45055235, VITORIA DA CONQUISTA"
CR AVELA NUTELLA T,,,"há 2 dia(s), 9 hora(s), 59 minuto(s) e 54 segundo(s)",2024-10-29 18:02:28,ECONOMART,"AVENIDA BRUMADO 2295 BATEIAS 45052000, VITORIA DA CONQUISTA"
CR NUTELLA AVE CAC 650GR,,,"há 8 hora(s), 47 minuto(s) e 30 segundo(s)",2024-10-29 18:02:28,SANTO ANTONIO SUPERMERCADOS,"AVENIDA LUIZ EDUARDO MAGALHAES 2800 CANDEIAS 45028440, VITORIA DA CONQUISTA"
CR AVELA NUTELLA 350G,"De R$ 22,64 por:","R$ 19,95",Código de barras:  7898024394181,2024-10-29 18:08:43,"há 3 hora(s), 14 minuto(s) e 51 segundo(s)",ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A
NUTELLA 350 GR 1X350GR,"R$ 20,85", 7898024394181,"há 8 hora(s), 52 minuto(s) e 39 segundo(s)",2024-10-29 18:08:43,CABRAL E SOUSA,"AVENIDA REGIS PACHECO 67 CENTRO 45015310, VITORIA DA CONQUISTA"
NUTELLA CREME AVELA C/CACAU,"R$ 24,59", 7898024394181,"há 23 hora(s), 40 minuto(s) e 33 segundo(s)",2024-10-29 18:08:43,FACA FESTA,"AVENIDA JURACY MAGALHAES 35 FELICIA 45055235, VITORIA DA CONQUISTA"
NUTELLA 350G,"R$ 24,60", 7898024394181,"há 8 hora(s), 24 minuto(s) e 54 segundo(s)",2024-10-29 18:08:43,MERCADINHO ANDRES,"RUA D URBIS IV 02 ZABELE 45077040, VITORIA DA CONQUISTA"
CR AVELA NUTELLA T,"R$ 25,90", 7898024394181,"há 5 hora(s), 22 minuto(s) e 51 segundo(s)",2024-10-29 18:08:43,ECONOMART,"AVENIDA BRUMADO 2295 BATEIAS 45052000, VITORIA DA CONQUISTA"
CREME DE AVELA NUTELLA FERRERO 350GR,"R$ 27,29", 7898024394181,"há 19 hora(s), 48 minuto(s) e 3 segundo(s)",2024-10-29 18:08:43,MINI MERCADO DUTRA,"AVENIDA ITABUNA 3245 IBIRAPUERA 45075195, VITORIA DA CONQUISTA"
CR.AVELA NUTEL.,"R$ 29,48", 7898024394181,"há 23 hora(s), 55 minuto(s) e 52 segundo(s)",2024-10-29 18:08:43,BRASIL ATACAREJO,"AVENIDA JURACY MAGALHAES 3065 BOA VISTA 45026090, VITORIA DA CONQUISTA"
CREME NUTELLA 350G UN,"R$ 29,90", 7898024394181,"há 2 dia(s), 23 hora(s), 15 minuto(s) e 13 segundo(s)",2024-10-29 18:08:43,G BARBOSA,"AVENIDA OLIVIA FLORES S/N CANDEIAS 45028100, VITORIA DA CONQUISTA"
CR AVELA T350 NUTELLA FERRERO,"De R$ 32,99 por:","R$ 29,99",Código de barras:  7898024394181,2024-10-29 18:08:43,"há 1 dia(s), 20 hora(s), 50 minuto(s) e 0 segundo(s)",IRMAOS MATTAR & CIA LTDA
NUTELLA 650 GR UN,"R$ 38,78", 7898024396529,"há 4 hora(s), 46 minuto(s) e 1 segundo(s)",2024-10-29 18:08:48,CABRAL E SOUSA,"AVENIDA REGIS PACHECO 67 CENTRO 45015310, VITORIA DA CONQUISTA"
CREME FERRERO AVELA,"R$ 39,90", 7898024396529,"há 7 hora(s), 47 minuto(s) e 40 segundo(s)",2024-10-29 18:08:48,ATACADAO,"RODOVIA BR 116 5005 AYRTON SENNA 45058000, VITORIA DA CONQUISTA"
CREME FERRERO AVELA,"R$ 39,90", 7898024396529,"há 1 dia(s), 6 hora(s), 22 minuto(s) e 57 segundo(s)",2024-10-29 18:08:48,MAXXI,"AVENIDA BRUMADO 2555 BATEIAS 45052000, VITORIA DA CONQUISTA"
NUTELLA FERRERO 650G,"R$ 45,79", 7898024396529,há 8 hora(s) e 18 segundo(s),2024-10-29 18:08:48,FACA FESTAS,"AVENIDA CRESCENCIO SILVEIRA 223 CENTRO 45000190, VITORIA DA CONQUISTA"
NUTELLA FERRERO 650GR,"R$ 45,79", 7898024396529,"há 1 dia(s), 7 hora(s), 49 minuto(s) e 22 segundo(s)",2024-10-29 18:08:48,FACA FESTA,"AVENIDA JURACY MAGALHAES 35 FELICIA 45055235, VITORIA DA CONQUISTA"
CR AVELA NUTELLA T,"R$ 48,90", 7898024396529,"há 2 dia(s), 10 hora(s), 6 minuto(s) e 16 segundo(s)",2024-10-29 18:08:48,ECONOMART,"AVENIDA BRUMADO 2295 BATEIAS 45052000, VITORIA DA CONQUISTA"
CR NUTELLA AVE CAC 650GR,"R$ 58,30", 7898024396529,"há 8 hora(s), 53 minuto(s) e 52 segundo(s)",2024-10-29 18:08:48,SANTO ANTONIO SUPERMERCADOS,"AVENIDA LUIZ EDUARDO MAGALHAES 2800 CANDEIAS 45028440, VITORIA DA CONQUISTA"
REDBULL 250ML,"R$ 10,69", 611269991000,"há 7 hora(s), 30 minuto(s) e 47 segundo(s)",2024-10-29 18:08:58,SANTA LUZIA SUPERMERCADO,"AVENIDA PEDRO FRANCISCO DE MORAIS FILHO 46 FELICIA 45055405, VITORIA DA CONQUISTA"
REDBULL ENERGY SUGARFREE 250ML,"R$ 10,69", 611269101713,"há 21 hora(s), 47 minuto(s) e 49 segundo(s)",2024-10-29 18:08:58,SANTA LUZIA SUPERMERCADO,"AVENIDA PEDRO FRANCISCO DE MORAIS FILHO 46 FELICIA 45055405, VITORIA DA CONQUISTA"
REDBULL PITAYA 250ML,"R$ 10,69", 9002490250270,"há 1 dia(s), 4 hora(s), 28 minuto(s) e 43 segundo(s)",2024-10-29 18:08:58,SANTA LUZIA SUPERMERCADO,"AVENIDA PEDRO FRANCISCO DE MORAIS FILHO 46 FELICIA 45055405, VITORIA DA CONQUISTA"
ENERGY DRINK REDBULL PITAYA 250ML,"R$ 10,75", 9002490250270,"há 6 hora(s), 37 minuto(s) e 55 segundo(s)",2024-10-29 18:08:58,SUPERMERCADO BARROS,"RUA LIBANO 375 JD GUANABARA 45055225, VITORIA DA CONQUISTA"
REDBULL LATA 250ML,"R$ 10,99", Não informado,"há 3 hora(s), 47 minuto(s) e 22 segundo(s)",2024-10-29 18:08:58,MERCAUTO LTDA,"AVENIDA JARDIM GUANABARA 03 BOA VISTA 45026145, VITORIA DA CONQUISTA"
ENERGETICO REDBULL CEREJA 250MML,"R$ 10,99", Não informado,"há 2 dia(s), 21 hora(s), 2 minuto(s) e 44 segundo(s)",2024-10-29 18:08:58,SUPERMERCADO BATISTA,"AVENIDA JARDIM GUANABARA 1110 BOA VISTA 45026145, VITORIA DA CONQUISTA"
REDBULL THE SUMMER EDITION 250 ML,"R$ 11,00", 9002490266356,"há 10 hora(s), 7 minuto(s) e 26 segundo(s)",2024-10-29 18:08:58,DELICATESSEN MORIA,"AVENIDA JURACY MAGALHAES 1841 BOA VISTA 45026090, VITORIA DA CONQUISTA"
REDBULL 355ML,"R$ 12,99", 9002490209346,"há 1 dia(s), 2 hora(s), 36 minuto(s) e 10 segundo(s)",2024-10-29 18:08:58,SANTA LUZIA SUPERMERCADO,"AVENIDA PEDRO FRANCISCO DE MORAIS FILHO 46 FELICIA 45055405, VITORIA DA CONQUISTA"
REDBULL TRADICIONAL 250ML,"R$ 15,00", Não informado,"há 20 hora(s), 30 minuto(s) e 57 segundo(s)",2024-10-29 18:08:58,MADRUGAO CONVENIENCIA,"AVENIDA OLIVIA FLORES 120 CANDEIAS 45028100, VITORIA DA CONQUISTA"
ENERGETICO REDBULL,"R$ 15,00", Não informado,"há 2 dia(s), 18 hora(s), 52 minuto(s) e 2 segundo(s)",2024-10-29 18:08:58,LA PANCA SNACK HOUSE,"RUA SIQUEIRA CAMPOS 1013 RECREIO 45020800, VITORIA DA CONQUISTA"
REDBULL ENERGY DRINK 473 ML,"R$ 18,59", 9002490214166,"há 2 dia(s), 8 hora(s), 39 minuto(s) e 39 segundo(s)",2024-10-29 18:08:58,SANTA LUZIA SUPERMERCADO,"AVENIDA PEDRO FRANCISCO DE MORAIS FILHO 46 FELICIA 45055405, VITORIA DA CONQUISTA"
